GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
2069,3.04E-37,7.41E-40,0.0398,13.2127649,0.52632881,9767.15,EREG,epiregulin
9173,3.44E-36,8.58E-39,0.1124,13.0271012,1.4638385,349.98,IL1RL1,interleukin 1 receptor like 1
7837,9.18E-36,2.42E-38,0.0494,12.947644,0.63955416,1759.31,PXDN,peroxidasin
9448,9.18E-36,2.46E-38,0.034,12.9464539,0.44007937,10318.41,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4
23338,9.18E-36,2.43E-38,0.0262,-12.9472603,-0.33891857,13283.5,JADE2,jade family PHD finger 2
101,9.38E-36,2.57E-38,0.073,12.9431229,0.94438655,862.39,ADAM8,ADAM metallopeptidase domain 8
5796,1.85E-35,5.19E-38,0.037,-12.8890437,-0.47634116,4821.26,PTPRK,protein tyrosine phosphatase receptor type K
3397,1.14E-34,3.25E-37,0.0398,-12.7466512,-0.50738179,3766.82,ID1,inhibitor of DNA binding 1
91683,1.87E-34,5.45E-37,0.0345,-12.706327,-0.43891884,5173.41,SYT12,synaptotagmin 12
1825,9.76E-34,2.91E-36,0.0345,-12.5746043,-0.43437116,9926.71,DSC3,desmocollin 3
857,1.12E-33,3.42E-36,0.0241,-12.5619396,-0.30263165,39462.92,CAV1,caveolin 1
5818,2.50E-32,7.75E-35,0.0314,-12.3126085,-0.3860838,6809.67,NECTIN1,nectin cell adhesion molecule 1
3491,3.71E-32,1.18E-34,0.0361,12.278877,0.44289791,5264.03,CCN1,cellular communication network factor 1
23657,2.29E-31,7.38E-34,0.0431,-12.1294009,-0.52333472,3025.81,SLC7A11,solute carrier family 7 member 11
3856,2.96E-31,9.75E-34,0.0353,12.1065734,0.42735642,70292.69,KRT8,keratin 8
29899,7.98E-31,2.67E-33,0.0332,-12.0235276,-0.39951324,6281.57,GPSM2,G protein signaling modulator 2
1063,2.51E-30,8.57E-33,0.0285,-11.9269393,-0.34016442,12057.38,CENPF,centromere protein F
2817,8.04E-30,2.79E-32,0.0336,-11.8282162,-0.39705073,6610.35,GPC1,glypican 1
6574,1.49E-29,5.27E-32,0.0344,11.7746547,0.40541741,4868.48,SLC20A1,solute carrier family 20 member 1
1509,2.35E-29,8.44E-32,0.0318,-11.7348798,-0.37307249,14207.4,CTSD,cathepsin D
858,3.38E-29,1.24E-31,0.0358,-11.7025643,-0.41949046,13064.96,CAV2,caveolin 2
1026,7.75E-29,2.88E-31,0.0681,11.6306257,0.79204001,1061.78,CDKN1A,cyclin dependent kinase inhibitor 1A
5916,1.21E-28,4.55E-31,0.0362,-11.5914842,-0.41944738,4761.12,RARG,retinoic acid receptor gamma
8626,7.22E-28,2.77E-30,0.0291,-11.435769,-0.33309258,12009.52,TP63,tumor protein p63
3673,1.23E-27,4.81E-30,0.0701,11.3877562,0.79818559,1287.82,ITGA2,integrin subunit alpha 2
7128,1.39E-27,5.49E-30,0.0569,11.3762219,0.6473457,1390.94,TNFAIP3,TNF alpha induced protein 3
5332,1.46E-27,5.85E-30,0.0648,11.3707072,0.73709343,907.86,PLCB4,phospholipase C beta 4
84722,2.57E-27,1.05E-29,0.0519,-11.3196701,-0.58745633,1730.26,PSRC1,proline and serine rich coiled-coil 1
7136,2.58E-27,1.07E-29,0.0586,-11.3178882,-0.66360869,1477.69,TNNI2,"troponin I2, fast skeletal type"
5328,2.84E-27,1.21E-29,0.037,11.3070377,0.41884331,10095.58,PLAU,"plasminogen activator, urokinase"
113218482,2.84E-27,1.20E-29,0.0447,11.3077297,0.50601264,3906.35,MIR9898,microRNA 9898
219699,3.72E-27,1.61E-29,0.0619,-11.2820317,-0.69867755,1232.96,UNC5B,unc-5 netrin receptor B
1604,1.62E-26,7.12E-29,0.0574,11.1505004,0.64046501,1802.43,CD55,CD55 molecule (Cromer blood group)
10723,2.52E-26,1.12E-28,0.1067,11.1100495,1.18519893,1708.53,SLC12A7,solute carrier family 12 member 7
218,2.61E-26,1.18E-28,0.1053,-11.105807,-1.16976164,2740.77,ALDH3A1,aldehyde dehydrogenase 3 family member A1
22822,2.87E-26,1.31E-28,0.0697,11.0959901,0.77285861,1384.98,PHLDA1,pleckstrin homology like domain family A member 1
3486,2.91E-26,1.35E-28,0.0594,-11.093681,-0.65944111,1511.89,IGFBP3,insulin like growth factor binding protein 3
728113,1.45E-25,6.78E-28,0.0337,-10.9481842,-0.36875752,6431.28,ANXA8L1,annexin A8 like 1
220213,2.04E-25,9.68E-28,0.0455,-10.9158493,-0.49627835,2264.68,OTUD1,OTU deubiquitinase 1
147166,2.09E-25,1.01E-27,0.0454,-10.9122419,-0.4949119,2394.4,TRIM16L,tripartite motif containing 16 like
653145,1.20E-24,5.84E-27,0.0296,-10.7514062,-0.31784688,9988.19,ANXA8,annexin A8
7090,1.36E-24,6.71E-27,0.0373,-10.7385887,-0.40084378,5783.31,TLE3,"TLE family member 3, transcriptional corepressor"
9928,1.41E-24,7.02E-27,0.0354,-10.7343289,-0.38053113,5256,KIF14,kinesin family member 14
8870,1.74E-24,8.81E-27,0.0681,10.7133846,0.72991844,893.32,IER3,immediate early response 3
1917,1.91E-24,9.75E-27,0.0444,10.7040028,0.47553011,3029.61,EEF1A2,eukaryotic translation elongation factor 1 alpha 2
6695,2.13E-24,1.10E-26,0.0737,10.6925522,0.78752432,812.02,SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1"
4430,5.87E-24,3.07E-26,0.0279,-10.5970856,-0.29539918,24097.7,MYO1B,myosin IB
78990,8.04E-24,4.26E-26,0.0833,10.5665097,0.88014596,552.19,OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2"
10468,1.21E-23,6.50E-26,0.0807,10.5267984,0.84913544,661.85,FST,follistatin
109729127,1.49E-23,8.07E-26,0.0825,10.5064196,0.86705123,639.74,KRT7-AS,KRT7 antisense RNA 1
6720,2.06E-23,1.13E-25,0.0345,-10.4748044,-0.36107119,6985.21,SREBF1,sterol regulatory element binding transcription factor 1
9124,2.82E-23,1.56E-25,0.0383,-10.4439867,-0.39989213,3296.33,PDLIM1,PDZ and LIM domain 1
1846,4.03E-23,2.26E-25,0.076,10.4089626,0.79127729,642.94,DUSP4,dual specificity phosphatase 4
348110,4.31E-23,2.44E-25,0.0345,-10.4015243,-0.3592001,6201.09,ARPIN,actin related protein 2/3 complex inhibitor
3691,6.30E-23,3.61E-25,0.0282,-10.3642448,-0.29237222,12622.44,ITGB4,integrin subunit beta 4
9516,9.96E-23,5.76E-25,0.0276,-10.3193969,-0.28531909,9001.34,LITAF,lipopolysaccharide induced TNF factor
162394,1.60E-22,9.33E-25,0.0495,10.2729692,0.50800654,2622.52,SLFN5,schlafen family member 5
7057,1.61E-22,9.48E-25,0.0372,10.2714153,0.38229501,4395.92,THBS1,thrombospondin 1
259266,2.05E-22,1.22E-24,0.0328,-10.2468307,-0.33605131,8777.79,ASPM,assembly factor for spindle microtubules
11009,2.67E-22,1.61E-24,0.1125,10.2203545,1.14980317,296.85,IL24,interleukin 24
6662,2.90E-22,1.77E-24,0.0709,10.2111683,0.72412542,989.97,SOX9,SRY-box transcription factor 9
25777,2.95E-22,1.82E-24,0.0327,-10.2085023,-0.33338511,7286.84,SUN2,Sad1 and UNC84 domain containing 2
55635,4.14E-22,2.57E-24,0.0357,-10.1747639,-0.36284474,5660.94,DEPDC1,DEP domain containing 1
3714,2.41E-21,1.51E-23,0.0348,-10.0007711,-0.34810778,6002.64,JAG2,jagged canonical Notch ligand 2
23670,2.54E-21,1.61E-23,0.0701,9.9945024,0.70049121,801.84,CEMIP2,cell migration inducing hyaluronidase 2
2495,3.30E-21,2.11E-23,0.0235,-9.967612,-0.23470645,121280.36,FTH1,ferritin heavy chain 1
6319,6.72E-21,4.34E-23,0.0237,-9.895908,-0.23470356,52077.94,SCD,stearoyl-CoA desaturase
153090,7.25E-21,4.72E-23,0.0373,-9.8874054,-0.36898739,3548.4,DAB2IP,DAB2 interacting protein
3315,1.05E-20,6.92E-23,0.0337,-9.8490613,-0.33235397,8154.05,HSPB1,heat shock protein family B (small) member 1
2113,2.08E-20,1.38E-22,0.0351,9.7795528,0.34297661,6391.58,ETS1,"ETS proto-oncogene 1, transcription factor"
10085,3.17E-20,2.13E-22,0.0826,-9.7355711,-0.80432187,601.18,EDIL3,EGF like repeats and discoidin domains 3
1843,3.61E-20,2.44E-22,0.1101,9.7215445,1.07001131,332.86,DUSP1,dual specificity phosphatase 1
2119,4.02E-20,2.74E-22,0.0771,9.7096198,0.74868992,631.21,ETV5,ETS variant transcription factor 5
1830,5.14E-20,3.54E-22,0.0425,-9.6836684,-0.4116341,2504.22,DSG3,desmoglein 3
1282,5.28E-20,3.66E-22,0.0511,9.6801154,0.4943011,1741.91,COL4A1,collagen type IV alpha 1 chain
3669,1.32E-19,9.23E-22,0.0924,9.5851326,0.8858013,463.76,ISG20,interferon stimulated exonuclease gene 20
3983,1.90E-19,1.34E-21,0.0681,9.5464095,0.64974288,899.92,ABLIM1,actin binding LIM protein 1
22837,2.39E-19,1.70E-21,0.0476,-9.5218236,-0.45357696,1919.69,COBLL1,cordon-bleu WH2 repeat protein like 1
4082,2.63E-19,1.89E-21,0.0408,-9.5110411,-0.38837629,2778.7,MARCKS,myristoylated alanine rich protein kinase C substrate
64710,3.55E-19,2.57E-21,0.0232,-9.4787808,-0.21988059,37860.46,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
57648,4.85E-19,3.54E-21,0.0297,-9.4453828,-0.28034215,8733.2,KIAA1522,KIAA1522
642587,5.39E-19,3.97E-21,0.0528,-9.4333828,-0.49838657,1392.69,MIR205HG,MIR205 host gene
4781,7.82E-19,5.81E-21,0.0384,-9.393397,-0.36095202,3788.64,NFIB,nuclear factor I B
894,8.46E-19,6.34E-21,0.0484,9.3842587,0.45466397,2395.24,CCND2,cyclin D2
23762,9.44E-19,7.13E-21,0.0524,9.3718146,0.49100012,2020.46,OSBP2,oxysterol binding protein 2
6397,9.87E-19,7.51E-21,0.0399,9.3662827,0.37367025,3382.46,SEC14L1,SEC14 like lipid binding 1
8140,1.41E-18,1.09E-20,0.0275,-9.3273772,-0.25678793,79164.2,SLC7A5,solute carrier family 7 member 5
283431,1.53E-18,1.18E-20,0.0454,-9.3185236,-0.42350306,1931.08,GAS2L3,growth arrest specific 2 like 3
11064,1.55E-18,1.21E-20,0.0524,-9.3162719,-0.48782133,1447.02,CNTRL,centriolin
202,1.76E-18,1.38E-20,0.0482,-9.3019,-0.44860664,2805.84,CRYBG1,crystallin beta-gamma domain containing 1
4312,1.76E-18,1.39E-20,0.1289,9.3009126,1.19884612,256.53,MMP1,matrix metallopeptidase 1
224,1.79E-18,1.43E-20,0.0336,-9.2982133,-0.31209067,6132.06,ALDH3A2,aldehyde dehydrogenase 3 family member A2
7040,1.85E-18,1.49E-20,0.0501,9.2937849,0.46518261,1993.41,TGFB1,transforming growth factor beta 1
4288,1.91E-18,1.55E-20,0.0306,-9.28947,-0.2842442,27612.8,MKI67,marker of proliferation Ki-67
4001,2.36E-18,1.93E-20,0.035,-9.2661816,-0.32385901,8075.47,LMNB1,lamin B1
5865,2.56E-18,2.10E-20,0.0952,9.2570418,0.88102708,508.75,RAB3B,"RAB3B, member RAS oncogene family"
118738,2.84E-18,2.35E-20,0.0534,-9.2448933,-0.49331218,1449.26,ZNF488,zinc finger protein 488
23204,3.56E-18,2.97E-20,0.0264,9.2201051,0.24311274,27110.15,ARL6IP1,ADP ribosylation factor like GTPase 6 interacting protein 1
4150,3.84E-18,3.22E-20,0.0291,-9.2112108,-0.26847033,8280.54,MAZ,MYC associated zinc finger protein
9620,3.88E-18,3.29E-20,0.0302,-9.2091813,-0.27819813,26488.25,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1
5155,3.99E-18,3.40E-20,0.077,9.2055073,0.70850913,623.93,PDGFB,platelet derived growth factor subunit B
1824,4.07E-18,3.49E-20,0.0414,-9.2027208,-0.38074482,2515.31,DSC2,desmocollin 2
84171,4.08E-18,3.53E-20,0.0783,-9.2015937,-0.72028061,773.8,LOXL4,lysyl oxidase like 4
3417,4.55E-18,3.99E-20,0.032,-9.1884395,-0.29365904,7045.13,IDH1,isocitrate dehydrogenase (NADP(+)) 1
4851,4.55E-18,3.98E-20,0.0411,-9.1884839,-0.37772251,4302.33,NOTCH1,notch receptor 1
647024,4.69E-18,4.14E-20,0.0492,-9.1843971,-0.45230022,1710.5,C6orf132,chromosome 6 open reading frame 132
374,1.05E-17,9.37E-20,0.0469,9.0960779,0.42654259,2354.52,AREG,amphiregulin
27071,3.17E-17,2.86E-19,0.0949,8.974016,0.85182243,445.2,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1
4758,3.17E-17,2.85E-19,0.0589,8.9743062,0.52814359,1126.7,NEU1,neuraminidase 1
22974,3.76E-17,3.41E-19,0.0304,-8.9545951,-0.27181439,13041.53,TPX2,TPX2 microtubule nucleation factor
10906,4.56E-17,4.16E-19,0.0387,-8.9325225,-0.34544087,3150.4,TRAFD1,TRAF-type zinc finger domain containing 1
53947,5.30E-17,4.88E-19,0.0827,-8.9150557,-0.73759873,586.04,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
4053,5.46E-17,5.05E-19,0.0679,8.9111965,0.60525035,905.12,LTBP2,latent transforming growth factor beta binding protein 2
3241,5.68E-17,5.29E-19,0.0869,8.905964,0.77403869,651.42,HPCAL1,hippocalcin like 1
2539,8.15E-17,7.65E-19,0.0305,-8.8650726,-0.27019179,8179.05,G6PD,glucose-6-phosphate dehydrogenase
891,9.60E-17,9.09E-19,0.0296,-8.8457713,-0.26212368,9858.51,CCNB1,cyclin B1
29127,9.60E-17,9.12E-19,0.0327,-8.8454327,-0.28907979,5621.45,RACGAP1,Rac GTPase activating protein 1
7422,9.69E-17,9.26E-19,0.037,8.8436926,0.32679725,3621.62,VEGFA,vascular endothelial growth factor A
286827,1.36E-16,1.31E-18,0.0478,-8.8049703,-0.42057316,1839.31,TRIM59,tripartite motif containing 59
3303,1.46E-16,1.41E-18,0.0311,-8.7965517,-0.27399901,18162.25,HSPA1A,heat shock protein family A (Hsp70) member 1A
6303,1.67E-16,1.63E-18,0.0502,8.7803566,0.4404918,2488.14,SAT1,spermidine/spermine N1-acetyltransferase 1
5641,2.00E-16,1.96E-18,0.0315,8.7593003,0.2760307,5665.5,LGMN,legumain
6520,2.19E-16,2.16E-18,0.0288,-8.748584,-0.25215179,20690.29,SLC3A2,solute carrier family 3 member 2
81606,2.92E-16,2.90E-18,0.1014,8.7153326,0.88333945,385.35,LBH,LBH regulator of WNT signaling pathway
414236,4.18E-16,4.18E-18,0.0491,8.6739087,0.42608874,2060.28,C10orf55,chromosome 10 putative open reading frame 55
1728,4.23E-16,4.25E-18,0.0294,-8.6718146,-0.25513879,14493.42,NQO1,NAD(P)H quinone dehydrogenase 1
254428,4.57E-16,4.62E-18,0.0404,8.6624027,0.35028628,3033.12,SLC41A1,solute carrier family 41 member 1
1903,4.99E-16,5.07E-18,0.077,8.6517526,0.66612293,661.92,S1PR3,sphingosine-1-phosphate receptor 3
991,5.11E-16,5.23E-18,0.0365,-8.648233,-0.31578888,7572.98,CDC20,cell division cycle 20
5226,5.84E-16,6.01E-18,0.0346,-8.6324382,-0.29855023,5688.85,PGD,phosphogluconate dehydrogenase
64288,7.32E-16,7.58E-18,0.077,-8.605769,-0.66254909,715.07,ZSCAN31,zinc finger and SCAN domain containing 31
6421,1.38E-15,1.44E-17,0.025,-8.5318387,-0.2130537,19623.58,SFPQ,splicing factor proline and glutamine rich
4942,1.56E-15,1.63E-17,0.0278,8.5172238,0.23651458,12106.21,OAT,ornithine aminotransferase
116496,1.69E-15,1.78E-17,0.0463,-8.5075948,-0.39426122,2600.99,NIBAN1,niban apoptosis regulator 1
1031,1.72E-15,1.82E-17,0.0652,-8.5044852,-0.55425507,844.39,CDKN2C,cyclin dependent kinase inhibitor 2C
51676,2.42E-15,2.58E-17,0.1925,8.4642225,1.62944055,103.07,ASB2,ankyrin repeat and SOCS box containing 2
50807,2.85E-15,3.06E-17,0.037,8.4443148,0.31228194,4090.75,ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
901,2.92E-15,3.15E-17,0.0826,-8.4409731,-0.69694014,645.35,CCNG2,cyclin G2
83999,3.84E-15,4.16E-17,0.0478,-8.408358,-0.40233097,3014.56,KREMEN1,kringle containing transmembrane protein 1
9249,4.47E-15,4.87E-17,0.0665,-8.389875,-0.55782555,843.73,DHRS3,dehydrogenase/reductase 3
6790,5.19E-15,5.69E-17,0.0371,-8.371429,-0.31089999,4402.9,AURKA,aurora kinase A
5885,5.66E-15,6.23E-17,0.0256,-8.3607283,-0.21378513,35456.39,RAD21,RAD21 cohesin complex component
9048,5.66E-15,6.27E-17,0.0953,-8.3600323,-0.79697928,401.07,ARTN,artemin
847,5.98E-15,6.67E-17,0.0561,-8.3528019,-0.4685342,1398.82,CAT,catalase
26227,6.13E-15,6.86E-17,0.0316,-8.3493587,-0.26344264,11794.17,PHGDH,phosphoglycerate dehydrogenase
3801,6.34E-15,7.14E-17,0.0553,8.3446474,0.46152791,1360.56,KIFC3,kinesin family member C3
2907,6.80E-15,7.72E-17,0.0438,8.3353838,0.36479209,2957.54,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1
1009,6.80E-15,7.74E-17,0.1559,8.3351119,1.29909661,184.55,CDH11,cadherin 11
7039,6.99E-15,8.01E-17,0.0535,8.3311429,0.44588976,1477.48,TGFA,transforming growth factor alpha
89874,9.42E-15,1.08E-16,0.0598,-8.2951659,-0.49628251,1365.44,SLC25A21,solute carrier family 25 member 21
5307,9.58E-15,1.11E-16,0.0584,-8.2925676,-0.48415839,1281.13,PITX1,paired like homeodomain 1
5347,9.77E-15,1.14E-16,0.0396,-8.2893946,-0.32800008,5506.81,PLK1,polo like kinase 1
558,9.77E-15,1.14E-16,0.0375,8.2889433,0.31079476,10081.38,AXL,AXL receptor tyrosine kinase
117854,1.92E-14,2.25E-16,0.0562,-8.2077022,-0.46118255,1421.55,TRIM6,tripartite motif containing 6
79956,2.02E-14,2.38E-16,0.0309,-8.2010947,-0.25321318,8416.88,ERMP1,endoplasmic reticulum metallopeptidase 1
3696,2.15E-14,2.55E-16,0.0565,-8.192737,-0.46279466,1887.67,ITGB8,integrin subunit beta 8
51523,2.21E-14,2.64E-16,0.068,-8.1887012,-0.55665544,1062.47,CXXC5,CXXC finger protein 5
1952,2.24E-14,2.69E-16,0.0327,-8.1864881,-0.26742878,19491.7,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2
3553,2.61E-14,3.15E-16,0.0425,8.1675325,0.34703002,4199.46,IL1B,interleukin 1 beta
3383,2.94E-14,3.56E-16,0.0458,8.1526703,0.37340375,1950.38,ICAM1,intercellular adhesion molecule 1
3619,3.34E-14,4.06E-16,0.0334,-8.1367212,-0.27150766,6226.7,INCENP,inner centromere protein
3911,4.09E-14,5.01E-16,0.0378,-8.111328,-0.30674051,11023.53,LAMA5,laminin subunit alpha 5
25819,4.77E-14,5.87E-16,0.0853,8.091977,0.68988751,559.14,NOCT,nocturnin
51582,5.51E-14,6.81E-16,0.029,-8.0739577,-0.23415795,13575.77,AZIN1,antizyme inhibitor 1
266977,5.82E-14,7.23E-16,0.1079,-8.0665332,-0.87021416,322.31,ADGRF1,adhesion G protein-coupled receptor F1
100499467,5.89E-14,7.35E-16,0.0722,-8.0644819,-0.58218855,794.93,LINC00673,long intergenic non-protein coding RNA 673
11118,6.80E-14,8.53E-16,0.065,-8.0463143,-0.52326716,933.98,BTN3A2,butyrophilin subfamily 3 member A2
55103,7.29E-14,9.19E-16,0.044,-8.0372771,-0.35374732,2904.22,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2
51274,7.36E-14,9.32E-16,0.0405,-8.035474,-0.32547669,3800.94,KLF3,KLF transcription factor 3
26579,7.49E-14,9.53E-16,0.1162,8.0327867,0.93361931,295.96,MYEOV,myeloma overexpressed
7439,9.68E-14,1.24E-15,0.0243,-8.0005939,-0.19423294,88384.42,BEST1,bestrophin 1
214,1.05E-13,1.36E-15,0.0289,-7.9889599,-0.23115485,13953.6,ALCAM,activated leukocyte cell adhesion molecule
3613,1.05E-13,1.36E-15,0.0635,-7.9893366,-0.50745675,986.93,IMPA2,inositol monophosphatase 2
7003,1.10E-13,1.43E-15,0.0347,7.9828893,0.27685721,5383.8,TEAD1,TEA domain transcription factor 1
51421,1.21E-13,1.57E-15,0.0444,7.9711662,0.3537357,2295.01,AMOTL2,angiomotin like 2
723788,1.55E-13,2.04E-15,0.1056,7.939048,0.83817964,308.42,MIG7,replaced by ID 8412
5880,1.55E-13,2.03E-15,0.0485,7.9393388,0.38538581,1716.55,RAC2,Rac family small GTPase 2
90019,2.05E-13,2.71E-15,0.0579,-7.903742,-0.45759151,2234.58,SYT8,synaptotagmin 8
54845,2.09E-13,2.78E-15,0.0288,-7.9004377,-0.22764572,8127.03,ESRP1,epithelial splicing regulatory protein 1
3480,2.17E-13,2.89E-15,0.0346,-7.8954583,-0.27296193,5016.77,IGF1R,insulin like growth factor 1 receptor
4688,2.33E-13,3.11E-15,0.1545,7.8862117,1.21850797,164.85,NCF2,neutrophil cytosolic factor 2
1975,2.58E-13,3.48E-15,0.0278,-7.872492,-0.21869282,17420.4,EIF4B,eukaryotic translation initiation factor 4B
10610,2.67E-13,3.61E-15,0.0984,-7.8676823,-0.77395718,419.62,ST6GALNAC2,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
79098,2.73E-13,3.70E-15,0.0434,-7.8645549,-0.34115617,2427.64,C1orf116,chromosome 1 open reading frame 116
64782,2.86E-13,3.90E-15,0.0532,7.8580127,0.41841783,1889.21,AEN,apoptosis enhancing nuclease
81848,3.43E-13,4.70E-15,0.2308,7.8346541,1.80843069,90.65,SPRY4,sprouty RTK signaling antagonist 4
9423,3.55E-13,4.89E-15,0.057,-7.8296964,-0.44632818,2007.39,NTN1,netrin 1
6337,4.09E-13,5.65E-15,0.0417,-7.8115953,-0.32559577,2695.72,SCNN1A,sodium channel epithelial 1 subunit alpha
3833,4.09E-13,5.68E-15,0.0378,-7.8108604,-0.29540183,3519.16,KIFC1,kinesin family member C1
9918,4.43E-13,6.17E-15,0.0314,-7.8003359,-0.24481338,12431.48,NCAPD2,non-SMC condensin I complex subunit D2
8971,4.92E-13,6.89E-15,0.0407,-7.7865132,-0.31719791,5014.67,H1-10,H1.10 linker histone
2261,5.54E-13,7.79E-15,0.109,-7.7709615,-0.84701593,1431.07,FGFR3,fibroblast growth factor receptor 3
1316,6.19E-13,8.74E-15,0.0634,7.7562907,0.49172339,956.5,KLF6,KLF transcription factor 6
5912,6.40E-13,9.08E-15,0.0355,-7.751507,-0.27544097,4477.75,RAP2B,"RAP2B, member of RAS oncogene family"
760,7.38E-13,1.05E-14,0.0466,-7.7329269,-0.36063144,2301.22,CA2,carbonic anhydrase 2
56992,8.40E-13,1.20E-14,0.0527,-7.7159124,-0.40689757,1430.03,KIF15,kinesin family member 15
